bus_i,type,Pd,Qd,Vmax,Vmin,is_aux
1,1,97.6,44.2,1.06,0.94,0.0
2,1,0.0,0.0,1.06,0.94,0.0
3,1,322.0,2.4,1.06,0.94,0.0
4,1,500.0,184.0,1.06,0.94,0.0
5,1,0.0,0.0,1.06,0.94,0.0
6,1,0.0,0.0,1.06,0.94,0.0
7,1,233.8,84.0,1.06,0.94,0.0
8,1,522.0,176.6,1.06,0.94,0.0
9,1,6.5,-66.6,1.06,0.94,0.0
10,1,0.0,0.0,1.06,0.94,0.0
11,1,0.0,0.0,1.06,0.94,0.0
12,1,8.53,88.0,1.06,0.94,0.0
13,1,0.0,0.0,1.06,0.94,0.0
14,1,0.0,0.0,1.06,0.94,0.0
15,1,320.0,153.0,1.06,0.94,0.0
16,1,329.0,32.3,1.06,0.94,0.0
17,1,0.0,0.0,1.06,0.94,0.0
18,1,158.0,30.0,1.06,0.94,0.0
19,1,0.0,0.0,1.06,0.94,0.0
20,1,680.0,103.0,1.06,0.94,0.0
21,1,274.0,115.0,1.06,0.94,0.0
22,1,0.0,0.0,1.06,0.94,0.0
23,1,247.5,84.6,1.06,0.94,0.0
24,1,308.6,-92.2,1.06,0.94,0.0
25,1,224.0,47.2,1.06,0.94,0.0
26,1,139.0,17.0,1.06,0.94,0.0
27,1,281.0,75.5,1.06,0.94,0.0
28,1,206.0,27.6,1.06,0.94,0.0
29,1,283.5,26.9,1.06,0.94,0.0
30,2,0.0,0.0,1.06,0.94,0.0
31,3,9.2,4.6,1.06,0.94,0.0
32,2,0.0,0.0,1.06,0.94,0.0
33,2,0.0,0.0,1.06,0.94,0.0
34,2,0.0,0.0,1.06,0.94,0.0
35,2,0.0,0.0,1.06,0.94,0.0
36,2,0.0,0.0,1.06,0.94,0.0
37,2,0.0,0.0,1.06,0.94,0.0
38,2,0.0,0.0,1.06,0.94,0.0
39,2,1104.0,250.0,1.06,0.94,0.0
